Date,Open,High,Low,Close,Adj Close,Volume
2003-07-14,190.515060,221.243286,190.515060,208.951996,101.090454,3689987855
2003-07-21,208.951996,215.097641,190.515060,202.806351,98.117195,1009983175
2003-07-28,196.660706,202.806351,178.223755,190.515060,92.170685,577933460
2003-08-04,190.515060,196.660706,172.078110,190.515060,92.170685,1430392536
2003-08-11,184.369400,190.515060,184.369400,190.515060,92.170685,151017460
2003-08-18,190.515060,208.951996,184.369400,208.951996,101.090454,704856632
2003-08-25,202.806351,208.951996,196.660706,208.951996,101.090454,463635078
2003-09-01,202.806351,221.243286,190.515060,215.097641,104.063705,1272508427
2003-09-08,215.097641,215.097641,202.806351,208.951996,101.090454,574262163
2003-09-15,202.806351,215.097641,202.806351,215.097641,104.063705,468768793
2003-09-22,215.097641,215.097641,202.806351,215.097641,104.063705,323212514
2003-09-29,208.951996,215.097641,202.806351,215.097641,104.063705,480018625
2003-10-06,215.097641,227.388931,202.806351,227.388931,110.010193,1245818803
2003-10-13,227.388931,251.971527,221.243286,233.534576,112.983437,903743342
2003-10-20,233.534576,233.534576,215.097641,227.388931,110.010193,624838611
2003-10-27,221.243286,239.680222,221.243286,233.534576,112.983437,685049929
2003-11-03,233.534576,239.680222,215.097641,221.243286,107.036942,686026230
2003-11-10,221.243286,227.388931,196.660706,208.951996,101.090454,1096741739
2003-11-17,208.951996,227.388931,196.660706,227.388931,110.010193,830113991
2003-11-24,227.388931,227.388931,227.388931,227.388931,110.010193,0
2003-12-01,227.388931,233.534576,221.243286,227.388931,110.010193,630409628
2003-12-08,221.243286,245.825882,221.243286,245.825882,118.929955,403533594
2003-12-15,245.825882,245.825882,227.388931,239.680222,115.956696,1084938669
2003-12-22,239.680222,258.117157,239.680222,251.971527,128.319153,410367701
2003-12-29,251.971527,251.971527,239.680222,245.825882,125.189400,275105292
2004-01-05,251.971527,307.282349,245.825882,307.282349,156.486771,1628398544
2004-01-12,301.136688,344.156219,282.699768,331.864929,169.005722,1095775608
2004-01-19,331.864929,350.301880,319.573639,350.301880,178.394882,450387896
2004-01-26,350.301880,368.738800,307.282349,319.573639,162.746246,1841191438
2004-02-02,319.573639,356.447510,301.136688,350.301880,178.394882,855973758
2004-02-09,350.301880,356.447510,331.864929,344.156219,175.265137,613074187
2004-02-16,338.010590,387.175751,338.010590,381.030121,194.043579,1064472964
2004-02-23,381.030121,381.030121,344.156219,344.156219,175.265137,793830179
2004-03-01,350.301880,381.030121,331.864929,368.738800,187.784103,770000304
2004-03-08,362.593170,368.738800,344.156219,344.156219,175.265137,697178434
2004-03-15,350.301880,350.301880,319.573639,344.156219,175.265137,757023638
2004-03-22,344.156219,344.156219,313.427979,325.719299,165.875977,624230458
2004-03-29,325.719299,344.156219,307.282349,344.156219,175.265137,1223786949
2004-04-05,344.156219,362.593170,344.156219,356.447510,181.524673,680870143
2004-04-12,350.301880,356.447510,338.010590,350.301880,178.394882,518539794
2004-04-19,350.301880,381.030121,350.301880,381.030121,194.043579,1699353238
2004-04-26,374.884460,381.030121,350.301880,356.447510,181.524673,933610011
2004-05-03,356.447510,356.447510,319.573639,331.864929,169.005722,773571936
2004-05-10,319.573639,338.010590,294.991058,319.573639,162.746246,1363637970
2004-05-17,294.991058,313.427979,276.554108,307.282349,156.486771,890461584
2004-05-24,307.282349,313.427979,288.845398,313.427979,159.616501,656584660
2004-05-31,307.282349,313.427979,270.408478,276.554108,140.838089,939858337
2004-06-07,276.554108,301.136688,270.408478,294.991058,150.227310,1384213510
2004-06-14,282.699768,282.699768,258.117157,264.262817,134.578629,542213055
2004-06-21,264.262817,282.699768,258.117157,282.699768,152.212677,342488352
2004-06-28,282.699768,301.136688,276.554108,294.991058,158.830612,590804359
2004-07-05,294.991058,319.573639,294.991058,307.282349,165.448563,625755928
2004-07-12,307.282349,313.427979,288.845398,301.136688,162.139572,365604307
